chunk,channel,weight
0,H,0.0
0,S,0.0
0,V,0.0
1,H,0.03599716847797452
1,S,0.0
1,V,0.0
2,H,0.06550191041337934
2,S,0.0
2,V,0.31300900904113627
3,H,0.0013500984655572708
3,S,0.011802473452389247
3,V,0.0
4,H,0.1053674431199112
4,S,0.0
4,V,0.0
5,H,0.13543942845972307
5,S,0.0
5,V,0.0
6,H,0.0
6,S,0.0
6,V,0.0
7,H,0.0
7,S,0.0
7,V,0.0
8,H,0.0
8,S,0.0
8,V,0.0
9,H,0.0
9,S,0.06242875877799602
9,V,0.0
10,H,0.01066458070574545
10,S,0.1513563216855679
10,V,0.0
11,H,0.0
11,S,0.0009481352350054501
11,V,0.10613467216561438
